Gender,Program,SchoolType,Reason,Unknown,Period,Val
男,碩士班,私立,其他原因,-,9800,2585.000
男,碩士班,總計,總計,-,9800,11533.000
男,碩士班,總計,因傷病,-,9800,346.000
男,碩士班,總計,因經濟困難,-,9800,644.000
男,碩士班,總計,因學業志趣,-,9800,730.000
男,碩士班,總計,因工作需求,-,9800,3830.000
女,碩士班,總計,總計,-,9800,9288.000
女,碩士班,總計,因傷病,-,9800,403.000
女,碩士班,總計,因經濟困難,-,9800,598.000
女,碩士班,總計,因學業志趣,-,9800,516.000
男,碩士班,公立,其他原因,-,9800,3398.000
男,碩士班,私立,總計,-,9800,4616.000
男,碩士班,私立,因傷病,-,9800,147.000
男,碩士班,私立,因經濟困難,-,9800,288.000
男,碩士班,私立,因學業志趣,-,9800,202.000
男,碩士班,私立,因工作需求,-,9800,1394.000
男,碩士班,總計,其他原因,-,9800,5983.000
男,碩士班,公立,總計,-,9800,6917.000
男,碩士班,公立,因傷病,-,9800,199.000
男,碩士班,公立,因經濟困難,-,9800,356.000
男,碩士班,公立,因學業志趣,-,9800,528.000
男,碩士班,公立,因工作需求,-,9800,2436.000
女,碩士班,私立,因經濟困難,-,9800,237.000
女,碩士班,私立,因學業志趣,-,9800,98.000
女,碩士班,私立,因工作需求,-,9800,941.000
女,碩士班,私立,因懷孕,-,9800,119.000
女,碩士班,私立,其他原因,-,9800,1724.000
女,碩士班,公立,因學業志趣,-,9800,418.000
女,碩士班,公立,因工作需求,-,9800,1780.000
女,碩士班,公立,因懷孕,-,9800,222.000
女,碩士班,公立,其他原因,-,9800,2985.000
女,碩士班,私立,總計,-,9800,3270.000
女,碩士班,私立,因傷病,-,9800,151.000
女,碩士班,總計,因工作需求,-,9800,2721.000
女,碩士班,總計,因懷孕,-,9800,341.000
女,碩士班,總計,其他原因,-,9800,4709.000
女,碩士班,公立,總計,-,9800,6018.000
女,碩士班,公立,因傷病,-,9800,252.000
女,碩士班,公立,因經濟困難,-,9800,361.000
總計,碩士班,總計,總計,-,9800,20821.000
總計,碩士班,總計,因傷病,-,9800,749.000
總計,碩士班,私立,總計,-,9800,7886.000
總計,碩士班,私立,因傷病,-,9800,298.000
總計,碩士班,私立,因經濟困難,-,9800,525.000
總計,碩士班,私立,因學業志趣,-,9800,300.000
總計,碩士班,私立,因工作需求,-,9800,2335.000
總計,碩士班,私立,因懷孕,-,9800,119.000
總計,碩士班,公立,因傷病,-,9800,451.000
總計,碩士班,公立,因經濟困難,-,9800,717.000
總計,碩士班,公立,因學業志趣,-,9800,946.000
總計,碩士班,公立,因工作需求,-,9800,4216.000
總計,碩士班,公立,因懷孕,-,9800,222.000
總計,碩士班,公立,其他原因,-,9800,6383.000
總計,碩士班,總計,因經濟困難,-,9800,1242.000
總計,碩士班,總計,因學業志趣,-,9800,1246.000
總計,碩士班,總計,因工作需求,-,9800,6551.000
總計,碩士班,總計,因懷孕,-,9800,341.000
總計,碩士班,總計,其他原因,-,9800,10692.000
總計,碩士班,公立,總計,-,9800,12935.000
總計,碩士班,私立,其他原因,-,9800,4309.000
總計,專科,總計,總計,-,9800,6559.000
總計,專科,總計,因傷病,-,9800,314.000
總計,專科,總計,因經濟困難,-,9800,509.000
總計,專科,總計,因學業志趣,-,9800,1229.000
總計,專科,總計,因工作需求,-,9800,783.000
總計,專科,總計,因懷孕,-,9800,30.000
男,專科,總計,總計,-,9800,3810.000
男,專科,總計,因傷病,-,9800,99.000
男,專科,公立,因經濟困難,-,9800,21.000
男,專科,公立,因學業志趣,-,9800,28.000
男,專科,公立,因工作需求,-,9800,39.000
男,專科,公立,其他原因,-,9800,118.000
男,專科,私立,總計,-,9800,3593.000
男,專科,私立,因傷病,-,9800,88.000
男,專科,總計,因經濟困難,-,9800,210.000
男,專科,總計,因學業志趣,-,9800,625.000
男,專科,總計,因工作需求,-,9800,442.000
男,專科,總計,其他原因,-,9800,2434.000
男,專科,公立,總計,-,9800,217.000
男,專科,公立,因傷病,-,9800,11.000
男,專科,私立,因經濟困難,-,9800,189.000
男,專科,私立,因學業志趣,-,9800,597.000
男,專科,私立,因工作需求,-,9800,403.000
男,專科,私立,其他原因,-,9800,2316.000
女,專科,公立,因懷孕,-,9800,7.000
女,專科,公立,其他原因,-,9800,93.000
女,專科,私立,總計,-,9800,2466.000
女,專科,私立,因傷病,-,9800,187.000
女,專科,私立,因經濟困難,-,9800,255.000
女,專科,私立,因學業志趣,-,9800,550.000
女,專科,總計,其他原因,-,9800,1260.000
女,專科,公立,總計,-,9800,283.000
女,專科,公立,因傷病,-,9800,28.000
女,專科,公立,因經濟困難,-,9800,44.000
女,專科,公立,因學業志趣,-,9800,54.000
女,專科,公立,因工作需求,-,9800,57.000
女,專科,總計,總計,-,9800,2749.000
女,專科,總計,因傷病,-,9800,215.000
女,專科,總計,因經濟困難,-,9800,299.000
女,專科,總計,因學業志趣,-,9800,604.000
女,專科,總計,因工作需求,-,9800,341.000
女,專科,總計,因懷孕,-,9800,30.000
女,專科,私立,因工作需求,-,9800,284.000
女,專科,私立,因懷孕,-,9800,23.000
女,專科,私立,其他原因,-,9800,1167.000
總計,專科,公立,因懷孕,-,9800,7.000
總計,專科,公立,其他原因,-,9800,211.000
總計,專科,私立,總計,-,9800,6059.000
總計,專科,私立,因傷病,-,9800,275.000
總計,專科,私立,因經濟困難,-,9800,444.000
總計,專科,私立,因學業志趣,-,9800,1147.000
總計,專科,總計,其他原因,-,9800,3694.000
總計,專科,公立,總計,-,9800,500.000
總計,專科,公立,因傷病,-,9800,39.000
總計,專科,公立,因經濟困難,-,9800,65.000
總計,專科,公立,因學業志趣,-,9800,82.000
總計,專科,公立,因工作需求,-,9800,96.000
總計,博士日間,總計,總計,-,9800,5741.000
總計,博士日間,總計,因傷病,-,9800,279.000
總計,博士日間,總計,因經濟困難,-,9800,328.000
總計,博士日間,總計,因學業志趣,-,9800,469.000
